Site,BurialNumber,DeltaC13Car,DeltaC13Col,DeltaN,C_N,MidDate,MidDate2,AgeID,CompID,PlusSigma,MinusSigma,Source,Setting
41VT1,,-10.59,-18.41,10.36,,2790,-2790,2900,Component III,,,NSF 2015,TCP
41VT1,,-12.59,-18.02,10.72,,2758,-2758,2900,Component III,,,NSF 2015,TCP
41VT1,,-9.49,-16.19,10.31,,2755,-2755,2900,Component III,,,NSF 2015,TCP
41VT1,,-12.49,-18.1,9.07,,2754,-2754,2900,Component III,,,NSF 2015,TCP
41VT1,,-9.68,-17.88,10.14,,2752,-2752,2900,Component III,,,NSF 2015,TCP
41VT1,,-12.73,-18.45,9.42,,2749,-2749,2900,Component III,,,NSF 2015,TCP
41VT1,,-10.37,-18.43,9.67,,2746,-2746,2900,Component III,,,NSF 2015,TCP
41VT1,,-10.21,-17.4,9.7,,2742,-2742,2900,Component III,,,NSF 2015,TCP
41VT1,,-8.34,-18.33,9.94,,2737,-2737,2900,Component III,,,NSF 2015,TCP
41VT1,,-11.56,-18.03,13.35,,2728,-2728,2900,Component III,,,NSF 2015,TCP
41AU36,,-9.07,-19.39,11.1,,2615,-2615,2700,Component III,,,NSF 2015,TCP
41FB3,10,-9.5,-18.8,10.5,3.2,2600,-2600,2700,Component III,2790,2410,Hard and Katzenberg 2011,TCP
41VT1,113,-7.12,-8.01,11.7,3.2,2597.5,-2597.5,2700,Component III,2780,2415,Hard and Katzenberg 2011,TCP
41AU36,,-10.86,-19.43,12.76,,2586,-2586,2700,Component III,,,NSF 2015,TCP
41AU36,,-13.55,-19.55,10.75,,2585,-2585,2700,Component III,,,NSF 2015,TCP
41AU36,,-9.87,-18.79,12.29,,2585,-2585,2700,Component III,,,NSF 2015,TCP
41VT1,,-10.99,-17.69,10.34,,2560,-2560,2700,Component III,,,NSF 2015,TCP
41VT1,45,-8.9,-17.1,10.3,3.2,2445,-2445,2500,Component III,2510,2380,Hard and Katzenberg 2011,TCP
41NU2,,-5.95,-9.6,11.87,,2415,-2415,2500,Component III,,,NSF 2015,TCP
41WH39,,-11.95,-18.81,10.88,,2400,-2400,2500,Component III,,,Hard and Katzenberg 2011,TCP
41WH39,,-11.15,-18.97,10.22,,2400,-2400,2500,Component III,,,Hard and Katzenberg 2011,TCP
41WH39,,-9.67,-18.5,10.55,,2400,-2400,2500,Component III,,,Hard and Katzenberg 2011,TCP
